x_a_1,x_a_2,x_a_3,x_a_4,x_a_5,x_a_6,x_a_7,p_a_1,p_a_2,p_a_3,p_a_4,p_a_5,p_a_6,p_a_7,x_b_1,x_b_2,x_b_3,x_b_4,x_b_5,x_b_6,x_b_7,p_b_1,p_b_2,p_b_3,p_b_4,p_b_5,p_b_6,p_b_7,OPC,SPC,OAC,SAC,OLC_a,OLC_b,SLC_a,SLC_b,abs_ev_diff,abs_ev_diff_sq,ave_ln_scale,ave_ln_nstates,compound,nodom,ave_not_gains,ln_cdf_diff_abs,ln_scale_a,ln_nstates_a,not_gains_a,ln_var_a,ln_scale_b,ln_nstates_b,not_gains_b,ln_var_b
32,12,NA,NA,NA,NA,NA,0.3,0.7,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.2966487337350415,0.15160890384677217,5.4159247188181645,6.426757125086999,4.15093300071163,0,4.990365433256677,0,2,4,3.090008326826286,0.8958797346140275,0,1,0,2.1041341542702074,3.1354942159291497,1.0986122886681098,0,4.442651256490317,3.044522437723423,0.6931471805599453,0,0
32,12,NA,NA,NA,NA,NA,0.3,0.7,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.24292522386411367,0.14271592069977657,5.19863070239124,6.209235834849528,4.15093300071163,0,4.990365433256677,0,4,16,3.1354942159291497,0.8958797346140275,0,1,0,1.9459101490553132,3.1354942159291497,1.0986122886681098,0,4.442651256490317,3.1354942159291497,0.6931471805599453,0,0
32,12,NA,NA,NA,NA,NA,0.3,0.7,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.281579452725239,0.14737975030021824,4.929882887323466,5.888410573822094,4.15093300071163,0,4.990365433256677,0,2,4,2.984353779992683,0.8958797346140275,0,1,0,1.8870696490323797,3.1354942159291497,1.0986122886681098,0,4.442651256490317,2.833213344056216,0.6931471805599453,0,0
32,12,NA,NA,NA,NA,NA,0.3,0.7,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.20349350042499714,0.13111711949526422,3.92423751879965,4.813510031102346,4.15093300071163,0,4.990365433256677,0,4,16,2.92177220851568,0.8958797346140275,0,1,0,1.33500106673234,3.1354942159291497,1.0986122886681098,0,4.442651256490317,2.70805020110221,0.6931471805599453,0,0
192,172,NA,NA,NA,NA,NA,0.3,0.7,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.37195959895709196,0.1592875252610574,7.780036597970467,9.44489103285207,6.018822818489975,0.463168673011604,7.178402038795831,0.7766222858622824,2,4,5.203991592053624,0.8958797346140275,0,1,0,2.1041341542702074,5.209486152841421,1.0986122886681098,0,4.442651256490274,5.198497031265826,0.6931471805599453,0,0
192,172,NA,NA,NA,NA,NA,0.3,0.7,NA,NA,NA,NA,NA,182,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.31681139401580705,0.150249281612223,7.518019439270908,9.170274123179178,6.018822818489975,0.47306575502627335,7.178402038795831,0.7882156772550766,4,16,5.209486152841421,0.8958797346140275,0,1,0,1.9459101490553132,5.209486152841421,1.0986122886681098,0,4.442651256490274,5.209486152841421,0.6931471805599453,0,0
192,172,NA,NA,NA,NA,NA,0.3,0.7,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.3602562093683751,0.15540155467844774,7.399654738235004,9.041434858930218,6.018822818489975,0.4430421281882049,7.178402038795831,0.7530461539098101,2,4,5.1928179427076255,0.8958797346140275,0,1,0,1.8870696490323797,5.209486152841421,1.0986122886681098,0,4.442651256490274,5.176149732573829,0.6931471805599453,0,0
192,172,NA,NA,NA,NA,NA,0.3,0.7,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.2841973142910119,0.13934560062529686,6.457641490338132,8.04777000669566,6.018822818489975,0.43280763850826154,7.178402038795831,0.741057524898832,4,16,5.187136063382468,0.8958797346140275,0,1,0,1.33500106673234,5.209486152841421,1.0986122886681098,0,4.442651256490274,5.1647859739235145,0.6931471805599453,0,0
53,3,NA,NA,NA,NA,NA,0.3,0.7,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.3492573626615715,0.16851971829229795,7.123113122101582,8.253926486948469,6.285695453509229,0,7.3654198242251,0,2,4,3.2059091338549486,0.8958797346140275,0,1,0,3.0349529867072724,3.367295829986474,1.0986122886681098,0,6.265301212737709,3.044522437723423,0.6931471805599453,0,0
53,3,NA,NA,NA,NA,NA,0.3,0.7,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.3006796638857533,0.16137702702427786,7.07326870791298,8.212784000596153,6.285695453509229,0,7.3654198242251,0,4,16,3.251395022957812,0.8958797346140275,0,1,0,2.975529566236472,3.367295829986474,1.0986122886681098,0,6.265301212737709,3.1354942159291497,0.6931471805599453,0,0
